dying  a.垂死的，临终的 
dye  vt.&vi.染，染色 n.染料，染色 
duty  n.责任，义务；职责，职务；税，关税 
dusty  a.多灰尘的，灰蒙蒙的；粉末状的；灰色的 
dustbin  n.垃圾箱 
dust  n.尘土；粉末vt.擦净，除尘；撒(粉末等) 
during  prep.在...的整个期间，在..期间的某个时候 
dumpling  n.一种食品(用肉和蔬菜作馅，蒸熟来吃) 
dull  a.迟钝的，呆笨的；单调的，枯躁的；阴暗的 
duke  n.公爵，(欧洲公国的)君主 
due  a.应支付的，正当的，预定应到的(to)，由于 
duck  n.鸭，鸭肉v.忽地低下头(或弯腰)，躲避 
ducat  *n.过去曾在欧洲的许多国家通用的金币名 
dry  a.干(旱)的；干渴的；枯燥 vt.使干燥，晒干 
drunk  a.醉酒的；(喻)陶醉的 n.酗酒者，醉汉 
drum  n.鼓，鼓声；桶，筒v.有节奏地敲击 
drug  v.掺麻醉药/毒药于(食物、饮料等);用药麻醉 
drown  v.淹死，(高声音)遮掩(低声音) 
drop  v.投下，滴落；下降；降低n.滴；下降；微量 
driver  n.司机；[机械]起子 
drive  v.驾驶；开动；把(钉、桩等)打入；驱；迫使 
drink  v.(drank,drunk)喝，饮 n.饮料；喝酒 
drill  n.钻头，钻床；操练，演习 v.钻(孔)；操练 
drier  *n.吹风机 
dress  n.服装；女装，童装 v.给…穿衣；打扮 
dream  n.梦(想)，理想vi.做梦；想vt.梦想；想到 
drawing  n.图画，图样，素描；提款；提存 
drawer  n.拖曳者 
draw  v.画；向..移动；拖；拔出;提取,作出n.平局 
drag  n.拖，拉 v.拖；缓慢地移动；故意拖延 
dozen  n.一打，十二个；十来个，十几个 
downward  a.向下的，下行的ad.[-(s)]向下地，下行地 
downtown  a.在商业区的，属于商业区的ad.在/到商业区 
downstairs  ad.在楼下，往楼下a.楼下的n.楼下 
downhill  a.&ad.走下坡路的(地)；向坡下(的) 
down  ad.下；由大到小 prep.沿着…而下 a.向下的 
doubt  n.怀疑；不一定，未肯定 v.怀疑；不相信 
double  a.两倍的；双重的 ad.两倍地 n.两部 v.加倍 
dot  n.小点，小圆点 vt.加上小点，散布于，点缀 
door  n.门；门口，出入口；门状物；家；通道 
dollar  n.美元，元(加拿大、澳大利亚等国货币单位) 
dog  n.狗，雄兽 vt.尾随，跟踪 
doctor  n.医生；博士vt.篡改，对…做手脚 
do  aux.v. vt.做，干，办，从事；引起 vi.行动 
DNA  *(生化)脱氧核糖核酸 
division  n.分，分开；分配，分担；部门；除法；分歧 
divide  vt.分，划分，隔开；分配，分享；隔开；除 
dive  n.跳水；潜水；俯冲；低级夜总会 vi.跳水 
disturb  vt.打扰，使焦灼不安；扰乱，弄乱，妨碍 
district  n.区，行政区；地区，区域 
distant  a.far away in space or time; not clear 
distance  n.距离，间距；遥远，远方；冷淡，疏远 
disobey  v.不服从；不听命令 
dislike  vt.consider unpleasant; not like 
disk  n.圆盘；唱片，磁盘，光盘 
dish  n.碟，盘；菜肴，一道菜 
disease  n.病，疾病；病害 [参]decease 
discussion  n.讨论，谈论；论述 
discuss  vt.讨论，商议，议论，详述 
discrimination  n.辩别力；识别力；区别对待；歧视 
discovery  n.被发现的事物；发现，发觉 
discover  vt.发现，看出；暴露，显示 
discouraged  a.泄气的，沮丧的 
disaster  n.灾难，大祸；彻底的失败 
disappointment  n.失望，令人失望的人或事；挫折 
disappointing  *a.令人失望的；令人扫兴的 
disappointed  a.失望的，不满意的，不如意的 
disappoint  vt.失望；(希望等)破灭，挫败(计划等) 
disappear  vi.消失，不见；消亡，失踪 
disagreement  n.意见不一；不符，不一致 
disagree  v.(with)意见不合，有分歧；不一致，不符 
disadvantage  n.不利，不利条件；损害，损失 
disabled  a.伤残的；使失去战斗力的 
disability  n.机能丧失的状态；身体残障；无资格 
dirty  a.肮脏的；下流的，黄色的 vt.弄脏，玷污 
dirt  n.污秽物(如灰尘；粪便；泥土等) 
directory  n.人名地址录，工商行名录，(电话)号码簿 
director  n.导演，指挥者；(工厂)厂长；(车间)主任 
directly  ad.直接地；马上，立即 conj.一...(就)... 
direction  n.方向；指导，指挥，管理；(pl.)用法说明 
direct  a./ad.直接 vt.把…对准；指示；管理，指导 
dip  v.使...(在液体中)泡(一下),(使)浸,(使)沾 
dinner  n.(一天中的)主餐，正餐，(正式的)晚宴 
dining-room  n.餐室，食堂 
dingo  *n.澳洲的一种野狗 
digest  vt.消化；领会，融会贯通 n.文摘，摘要 
dig  vt./vi.挖，掘；刺；搜寻n.戳，捅；挖苦 
difficulty  n.困难，费劲；难事，难题；麻烦，困境 
difficult  a.困难的，艰难的；难对付的，很难满足的 
different  a.有差异的；各种不同的；与众不同的 
difference  n.差别，差异；差，差额；(意见的)分歧 
diet  n.日常饮食，日常食物；特种饮食，规定饮食 
die  vi.死，死亡；(草木)枯萎，凋谢；渴望 
dictionary  n.辞典；字典 
dictation  n.口授笔录，听写，命令 
diary  n.日记；(工作)日程登记本 
diamond  n.钻石，金刚石；菱形；(纸牌)红方块 
dialogue  n.对话，谈话，对白 
dial  n.(钟表等的)针盘；刻度盘 v.拨(电话号码) 
devotion  n.loyalty 献身；忠诚；专心 
devote  vt.将…奉献(给)，把...专用于，致力于 
development  n.发展，形成，开发，研制，生长，事态发展 
develop  vt.发展；形成；开发 vi.发展；成长，发育 
determined  adj．果断的；已下决心的 
determine  vt.确定；决定；使下决心vi.下决心 
determination  n.决心，决定；确定，测定；意志坚强 
detective  a.侦察(用)的 n.侦探 
destroy  vt.破坏，摧毁；使破灭，消灭；打破，粉碎 
despair  vi.灰心丧气，感到沮丧绝望 n.绝望，沮丧 
desk  n.书桌，办公桌，服务台 
desire  n.愿望，欲望 v.向往；要求，请求；情欲 
designer  n.设计者；制图者，策划者 
design  n.设计；图案；企图 vt.计划，谋划；设计 
deserted  adj.(街道等)无人通行的；已无人居住的 
desert  n./a.沙漠，无人居住的 v.丢弃，离开，背弃 
description  n.描写，描述；说明书；作图 
describe  vt.描绘，描写；形容，把…说成 
depth  n.深(度)，纵深；深切(刻)[pl.]深处(渊) 
depend  v.(on)依靠，依赖；信赖；决定于，视..而定 
department  n.(行政)部，局，处，系；(工厂的)车间 
demand  vt.要求，强令；需要；询问 n.要求；需要 
delivery  n.投递；邮件，发送的货物；分娩；讲话方式 
deliver  vt.投递交；发表；接生；给予；解救，拯救 
delighted  *a.高兴的；快乐的 
delight  n.高兴；使人高兴的东西(或人)v.高兴，欣喜 
delicious  a.美味可口的；芬芳的；有趣味的，妙的 
delay  n.耽搁，延迟vi.耽搁，拖延vt.耽搁；推迟 
degree  n.(角或温度的)度数；等级；程度；学位 
definite  a.明确的，肯定的，确定的，限定的 
defend  vt.保卫，保护；为…辩护，为(论文等)答辩 
defence  n.防御，保卫；[pl.]防务工事；辩护，答辩 
defeat  vt.战胜，击败；挫败，使落空 n.击败，战胜 
deer  n.［单复同形］鹿 
deeply  ad.深深地，非常地；深地；(声音)低沉地 
deep  a.深的，深长的；深奥的；强烈的 ad.深，迟 
deed  n.行为，行动；功绩，事迹；契约，证书 
declare  v.宣告，宣布；声明，断言；申报(纳税物品) 
decision  n.决定，决心；坚定，果断 
decide  vt.决定，裁决，解决 vi.拿定主意，判定 
December  (名)十二月 
debt  n.债(务)，借款，欠款 
death  n.死，死亡；灭亡，毁灭，死因 
dear  a.昂贵的；亲爱的；珍贵的 int.呵！哎呀！ 
deal  v.处理；给予；经营 n.数量，程度；交易 
deaf  a.聋的；不愿听别人意见的，装聋的 
dead  a.死的；无生命的；死气沉沉的 ad.完全地 
daytime  n.白天，白昼 
daylight  n.白天，日光，黎明 
day  n.天，一昼夜；白昼，白天；时期，时代 
